ISO Code,Language Name,Summary,Population Size,Institutional (%),Stable (%),Endangered (%),Extinct (%),Digital Support
mov,Mohave,Mohave is an endangered indigenous language of the United States. It belongs to the Cochimí-Yuman language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
mow,Moi,"Moi is an endangered indigenous language of Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mox,Molima,Molima is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
moy,Shekkacho,"Shekkacho is a stable indigenous language of Ethiopia. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.",10K to 1M,0%,100%,0%,0%,Emerging
moz,Mukulu,Mukulu is a stable indigenous language of Chad. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,10K to 1M,0%,100%,0%,0%,Ascending
mpa,Mpoto,Mpoto is a stable indigenous language of Tanzania. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mpb,Malak Malak,"Malak Malak is an endangered indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
mpc,Mangarrayi,"Mangarrayi is an endangered indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
mpd,Machinere,"Machinere is an endangered indigenous language of Brazil and Bolivia. It belongs to the Maipurean language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mpe,Majang,"Majang is a stable indigenous language of Ethiopia. It belongs to the Nilo-Saharan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",10K to 1M,100%,0%,0%,0%,Emerging
mpg,Marba,"Marba is a stable indigenous language of Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
mph,Maung,"Maung is a stable indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Ascending
mpi,Mpade,Mpade is a stable indigenous language of Cameroon and Chad. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mpj,Martu Wangka,"Martu Wangka is a stable indigenous language of Australia. It belongs to the Australian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
mpk,Mbara,"Mbara is an endangered indigenous language of Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mpl,"Kodut, Middle",Middle Kodut is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mpm,"Mixtec, Yosondúa","Yosondúa Mixtec is an endangered indigenous language of Mexico. It belongs to the Otomanguean language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mpn,Mindiri,Mindiri is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mpo,Miu,"Miu is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mpp,Migabac,Migabac is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mpq,Matís,Matís is a stable indigenous language of Brazil. It belongs to the Panoan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mpr,Vangunu,Vangunu is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mps,Dadibi,"Dadibi is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
mpt,Mian,Mian is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mpu,Makuráp,Makuráp is an endangered indigenous language of Brazil. It belongs to the Tupian language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
mpv,Mungkip,Mungkip is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mpw,Mapidian,"Mapidian is an endangered indigenous language of Brazil and Guyana. It belongs to the Maipurean language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
mpx,Misima-Panaeati,"Misima-Panaeati is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",10K to 1M,100%,0%,0%,0%,Emerging
mpy,Mapia,Mapia is an extinct language of Indonesia. It belongs to the Austronesian language family.,None,0%,0%,0%,100%,Still
mpz,Mpi,Mpi is an endangered indigenous language of Thailand. It belongs to the Sino-Tibetan language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
mqa,Maba,Maba is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
mqb,Mbuko,Mbuko is a stable indigenous language of Cameroon. It belongs to the Afro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
mqc,Mangole,Mangole is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
mqe,Matepi,"Matepi is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mqf,Momuna,"Momuna is an endangered indigenous language of Indonesia. It belongs to the Somahai language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mqg,"Malay, Kota Bangun Kutai",Kota Bangun Kutai Malay is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family and is part of the Malay macrolanguage. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
mqh,"Mixtec, Tlazoyaltepec",Tlazoyaltepec Mixtec is a stable indigenous language of Mexico. It belongs to the Otomanguean language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mqi,Mariri,Mariri is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mqj,Mamasa,Mamasa is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
mqk,"Manobo, Rajah Kabunsuwan","Rajah Kabunsuwan Manobo is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
mql,Mbelime,Mbelime is a stable indigenous language of Benin and Togo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mqm,South Marquesan,"South Marquesan is an endangered indigenous language of French Polynesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mqn,Moronene,"Moronene is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is taught as a subject of instruction in some schools.",10K to 1M,0%,0%,100%,0%,Emerging
mqo,Modole,"Modole is an endangered indigenous language of Indonesia. It belongs to the West Papuan language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mqp,Manipa,Manipa is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
mqq,Minokok,"Minokok is an endangered indigenous language of Malaysia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mqr,Mander,Mander is an endangered indigenous language of Indonesia. It belongs to the Tor-Kwerba language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
mqs,"Makian, West",West Makian is an endangered indigenous language of Indonesia. It belongs to the West Papuan language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
mqt,Mok,Mok is a stable indigenous language of Myanmar and Thailand. It belongs to the Austro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mqu,Mandari,Mandari is a stable indigenous language of South Sudan. It belongs to the Nilo-Saharan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mqv,Mosimo,"Mosimo is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
mqw,Murupi,"Murupi is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mqx,Mamuju,"Mamuju is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Still
mqy,Manggarai,"Manggarai is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
mqz,Pano,Pano is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Still
mra,Mlabri,"Mlabri is an endangered indigenous language of Thailand and Laos. It belongs to the Austro-Asiatic language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mrb,Marino,"Marino is a stable indigenous language of Vanuatu. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
mrc,Maricopa,Maricopa is an endangered indigenous language of the United States. It belongs to the Cochimí-Yuman language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
mrd,Western Magar,"Western Magar is an endangered indigenous language of Nepal. It belongs to the Sino-Tibetan language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
mre,Martha’s Vineyard Sign Language,Martha’s Vineyard Sign Language is an extinct language of the United States. It is a shared sign language.,None,0%,0%,0%,100%,Still
mrf,Elseng,"Elseng is an endangered indigenous language of Indonesia. It is an isolate that is not known to be related to any other language. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mrg,Mising,"Mising is a stable indigenous language of India. It belongs to the Sino-Tibetan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
mrh,Mara,Mara is a stable indigenous language of India and Myanmar. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is used as a language of instruction in education.,10K to 1M,100%,0%,0%,0%,Ascending
mri,Maori,Maori is an endangered indigenous language of New Zealand. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is used as a language of instruction in some schools.,10K to 1M,0%,0%,100%,0%,Vital
mrj,Hill Mari,"Hill Mari is an endangered indigenous language of the Russian Federation. It belongs to the Uralic language family and is part of the Mari macrolanguage. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
mrk,Hmwaveke,"Hmwaveke is an endangered indigenous language of New Caledonia. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mrl,Mortlockese,"Mortlockese is an endangered indigenous language of Micronesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mrm,Mwerlap,"Mwerlap is a stable indigenous language of Vanuatu. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
mrn,Cheke Holo,"Cheke Holo is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
mro,Mru,Mru is a stable indigenous language of Bangladesh and Myanmar. It belongs to the Sino-Tibetan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mrp,Morouas,"Morouas was thought to be the name of a language in Vanuatu and was thus assigned a three-letter code (mrp) in the ISO 639 standard. However, the editors of Ethnologue have not been able to identify any evidence for the existence of this language and are moving ahead with proceedings to have it removed from the ISO 639 standard.",,0%,0%,0%,0%,
mrq,North Marquesan,"North Marquesan is an endangered indigenous language of French Polynesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mrr,Maria,"Maria is a stable indigenous language of India. It belongs to the Dravidian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
mrs,Maragus,Maragus is an endangered indigenous language of Vanuatu. It belongs to the Austronesian language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mrt,Marghi Central,"Marghi Central is a stable indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
mru,Mono,Mono is an endangered indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
mrv,Mangareva,"Mangareva is an endangered indigenous language of French Polynesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mrw,Maranao,Maranao is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is taught as a subject of instruction in some schools.,10K to 1M,0%,0%,100%,0%,Ascending
mrx,Dineor,"Dineor is an endangered indigenous language of Indonesia. It belongs to the Tor-Kwerba language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
mry,Mandaya,Mandaya is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
mrz,Marind,"Marind is an endangered indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msb,Masbatenyo,Masbatenyo is a language of wider communication that originated in the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in education.,10K to 1M,100%,0%,0%,0%,Ascending
msc,Sankaran Maninka,Sankaran Maninka is an endangered indigenous language of Guinea. It belongs to the Niger-Congo language family and is part of the Mandingo macrolanguage. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Emerging
msd,Yucatec Maya Sign Language,Yucatec Maya Sign Language is a stable indigenous language of Mexico. It is a shared sign language. The language is used as a first language by deaf people of all ages.,Less than 10K,0%,100%,0%,0%,Emerging
mse,Musey,"Musey is a stable indigenous language of Chad and Cameroon. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Ascending
msf,Mekwei,"Mekwei is an endangered indigenous language of Indonesia. It belongs to the Nimboran language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msg,Moraid,"Moraid is an endangered indigenous language of Indonesia. It belongs to the West Papuan language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msh,Masikoro Malagasy,Masikoro Malagasy is a stable indigenous language of Madagascar. It belongs to the Austronesian language family and is part of the Malagasy macrolanguage. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Still
msi,Sabah Malay,Sabah Malay is a language of Malaysia that is used only as a second language and has no ethnic community. It belongs to the Austronesian language family and is part of the Malay macrolanguage. It is not known to be taught in schools.,1M to 1B,100%,0%,0%,0%,Emerging
msj,Madi,Madi is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
msk,Mansaka,"Mansaka is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
msl,Molof,"Molof is an endangered indigenous language of Indonesia. It is an unclassified language. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msm,Agusan Manobo,"Agusan Manobo is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
msn,Vurës,"Vurës is a stable indigenous language of Vanuatu. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
mso,Mombum,"Mombum is an endangered indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msp,Maritsauá,Maritsauá is an extinct language of Brazil. It belongs to the Tupian language family.,None,0%,0%,0%,100%,Still
msq,Caac,"Caac is an endangered indigenous language of New Caledonia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
msr,Mongolian Sign Language,Mongolian Sign Language is a stable indigenous language of Mongolia. It is a deaf community sign language. The language is used as a first language by deaf people of all ages.,10K to 1M,0%,100%,0%,0%,Emerging
mss,"Masela, West","West Masela is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msu,Musom,Musom is an endangered indigenous language of Papua New Guinea. It belongs to the Austronesian language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
msv,Maslam,"Maslam is an endangered indigenous language of Cameroon and Chad. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by older adults only. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
msw,Mansoanka,Mansoanka is an endangered indigenous language of Guinea-Bissau. It belongs to the Niger-Congo language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Still
msx,Moresada,"Moresada is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
msy,Aruamu,Aruamu is a stable indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
msz,Momare,Momare is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mta,Cotabato Manobo,Cotabato Manobo is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Ascending
mtb,Anyin Morofo,"Anyin Morofo is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
mtc,Munit,"Munit is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
mtd,Mualang,"Mualang is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.",10K to 1M,0%,100%,0%,0%,Emerging
mte,Mono,Mono is a stable indigenous language of the Solomon Islands. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mtf,Murik,Murik is an endangered indigenous language of Papua New Guinea. It belongs to the Ramu-Lower Sepik language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Emerging
mtg,Una,Una is a stable indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mth,Munggui,"Munggui is an endangered indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mti,Maiwa,Maiwa is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mtj,Moskona,"Moskona is an endangered indigenous language of Indonesia. It belongs to the East Bird’s Head-Sentani language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
mtk,Mbo’,"Mbo’ is an endangered indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mtl,Tehl,"Tehl is an endangered indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
mtm,Mator,Mator is an extinct language of the Russian Federation. It belongs to the Uralic language family.,None,0%,0%,0%,100%,Still
mtn,Matagalpa,Matagalpa is a dormant language of Nicaragua. It belongs to the Misumalpan language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
mto,Totontepec Mixe,Totontepec Mixe is a stable indigenous language of Mexico. It belongs to the Mixe-Zoquean language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Ascending
mtp,Weenhayek,"Weenhayek is a stable indigenous language of Bolivia. It belongs to the Matacoan language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
mtq,Muong,Muong is a stable indigenous language of Vietnam. It belongs to the Austro-Asiatic language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,1M to 1B,0%,100%,0%,0%,Ascending
mtr,Mewari,"Mewari is a stable indigenous language of India. It belongs to the Indo-European language family and is part of the Marwari macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",1M to 1B,0%,100%,0%,0%,Ascending
mts,Yura,Yura is a stable indigenous language of Peru. It belongs to the Panoan language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
mtt,Mota,"Mota is an endangered indigenous language of Vanuatu. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
mtu,"Mixtec, Tututepec",Tututepec Mixtec is an endangered indigenous language of Mexico. It belongs to the Otomanguean language family. The language is used as a first language by older adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
mtv,Asaro’o,Asaro’o is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is taught as a subject of instruction in some schools.,Less than 10K,0%,100%,0%,0%,Still
mtw,"Binukidnon, Southern","Southern Binukidnon is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
